"","annus_accipere_ire_amicus_tenere_currere_regere","stare_pes_eumolpus_iterum_ingens_extra_metiri","hodie_nemo_fortunare_maga_amare_dominus_caelus","sanguis_an_adhuc_quidam_cenare_amicus_temptare","deinde_numquid_lacrima_mors_ab_timere_peccare","vinum_supra_metiri_perfundere_aqua_potio_medius","movere_giton_vultus_causa_relinquere_ars_parere","nasci_alter_aureus_afferre_duo_notare_ovare","planus_dormire_pater_occidere_pro_aurum_relinquere","nox_frater_intellegere_ascyltos_pati_vir_descendere","vultus_postquam_pectus_gaudium_mens_gladium_nunc","ante_mulier_diligens_iacere_ascyltos_uter_longus","locus_tantus_fugere_frater_loqui_amare_secretus","pro_causa_legere_ducere_fides_poena_vulnus","eumolpus_navis_iuvenis_navigium_damnare_littera_placere","pes_afferre_implere_gratia_fortunare_post_cervix","extra_turbare_imponere_vocare_gitona_frons_carmen","vocare_noster_ancilla_hinc_puella_quia_vox","perire_mare_fluctus_vincere_vovere_litus_terra","terra_arma_tellus_petere_orbis_bellus_caelus"
"adhuc",0.0022626968658288,0.00115943346897947,2.5551268620487e-05,0.0192381586699798,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,0.0109751758491392,2.77492577073563e-05,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,2.84195867792082e-05,2.94663641453281e-05,2.96850417074836e-05,0.00602030730523857,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"ingens",2.24029392656317e-05,0.0136631277422875,2.5551268620487e-05,2.5616722596511e-05,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,2.73695158332649e-05,2.77492577073563e-05,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,2.84195867792082e-05,2.94663641453281e-05,0.0133879538100751,0.00452271842333843,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,0.0101906083894776
"loqui",2.24029392656317e-05,2.27339895878328e-05,0.00258067813066919,2.5616722596511e-05,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,0.0123436516408025,2.77492577073563e-05,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,0.0185011509932646,2.94663641453281e-05,0.00893519755395256,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"metiri",2.24029392656317e-05,0.0125264282628959,0.00385824156169354,2.5616722596511e-05,2.57155347545452e-05,0.0212258526114953,2.65343487144108e-05,2.73695158332649e-05,2.77492577073563e-05,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,2.84195867792082e-05,2.94663641453281e-05,2.96850417074836e-05,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"mori",0.00786343168223671,2.27339895878328e-05,0.00896849528579094,0.00771063350154981,0.0128834829120272,2.64991917746509e-05,2.65343487144108e-05,2.73695158332649e-05,2.77492577073563e-05,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,2.84195867792082e-05,2.94663641453281e-05,2.96850417074836e-05,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"animus",2.24029392656317e-05,2.27339895878328e-05,2.5551268620487e-05,0.00899146963137536,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,2.73695158332649e-05,2.77492577073563e-05,2.77878122655403e-05,0.00987702957480935,2.8379260436473e-05,0.00713331628158127,2.94663641453281e-05,0.00893519755395256,2.99517776380028e-05,0.00615865428807795,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"ecce",2.24029392656317e-05,2.27339895878328e-05,2.5551268620487e-05,2.5616722596511e-05,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,0.00960670005747598,2.77492577073563e-05,2.77878122655403e-05,0.00143512395531418,2.8379260436473e-05,0.00713331628158127,0.00739605740047735,0.00299818921245584,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,0.0143690062764839,3.3855841825507e-05
"familia",0.00114254990254721,0.00684293086593766,0.00641336842374224,2.5616722596511e-05,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,2.73695158332649e-05,0.00835252656991425,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,2.84195867792082e-05,2.94663641453281e-05,2.96850417074836e-05,0.0135082517147393,3.06400710849649e-05,0.00313791282194675,3.18603243381018e-05,3.3855841825507e-05
"liber",0.00450299079239196,2.27339895878328e-05,2.5551268620487e-05,2.5616722596511e-05,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,2.73695158332649e-05,2.77492577073563e-05,0.00975352210520466,0.00143512395531418,2.8379260436473e-05,2.84195867792082e-05,0.0103426938150102,0.00448244129783002,0.00302512954143828,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,0.00849781629820225
"mittere",2.24029392656317e-05,0.00911632982472094,2.5551268620487e-05,0.0115531418910265,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,2.73695158332649e-05,0.00696506368454644,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,2.84195867792082e-05,0.00739605740047735,0.00299818921245584,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"relinquere",0.00786343168223671,2.27339895878328e-05,2.5551268620487e-05,2.5616722596511e-05,0.00131149227248181,2.64991917746509e-05,0.0146204261416404,2.73695158332649e-05,0.0139023781113855,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,2.84195867792082e-05,2.94663641453281e-05,2.96850417074836e-05,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
