"","form","lemmata"
"δεύτερον","δεύτερον","δεύτερος"
"δέχεσθαι","δέχεσθαι","δέχομαι"
"δέχθαι","δέχθαι","δέχομαι"
"δή","δή","δή"
"δὴ","δὴ","δή"
"δηθύνοντ̓","δηθύνοντ̓","δηθύνοντ̓"
"δημοβόρος","δημοβόρος","δημοβόρος"
"δήν","δήν","δήν"
"δὴν","δὴν","δήν"
"διὰ","διὰ","διά"
"δία","δία","δῖος"
"δῖαν","δῖαν","δῖος"
"διάνδιχα","διάνδιχα","διάνδιχα"
"διαπρήσσουσα","διαπρήσσουσα","διαπράσσω"
"διαστήτην","διαστήτην","διίστημι"
"διείρεο","διείρεο","διείρομαι;διείρω"
"διέπουσ̓","διέπουσ̓","διέπουσ̓"
"διεπράθομέν","διεπράθομέν","διαπέρθω"
"διέτμαγεν","διέτμαγεν","διατμήγω"
"διί","διί","διί"
"διὶ","διὶ","διὶ"
"διῒ","διῒ","διῒ"
"δικαζέμεν","δικαζέμεν","δικάζω"
"δικασπόλοι","δικασπόλοι","δικασπόλος"
"διογενὲς","διογενὲς","διογενής"
"διογενὴς","διογενὴς","διογενής"
"διός","διός","διός"
"διὸς","διὸς","διὸς"
"δῖος","δῖος","δῖος"
"διοτρεφέων","διοτρεφέων","διοτρεφής"
"δίπτυχα","δίπτυχα","δίπτυχος"
"δοῖεν","δοῖεν","δίδωμι"
"δολομῆτα","δολομῆτα","δολομήτης"
"δόμεναι","δόμεναι","δίδωμι"
"δόντες","δόντες","δίδωμι"
"δὸς","δὸς","δίδωμι"
"δόσαν","δόσαν","δίδωμι"
"δουρί","δουρί","δόρυ"
"δρύαντά","δρύαντά","δρύαντά"
"δύνασαί","δύνασαί","δύναμαι;δύω"
"δυνήσεαι","δυνήσεαι","δύναμαι"
"δυνήσομαι","δυνήσομαι","δύναμαι"
"δύο","δύο","δύο"
"δύω","δύω","δύο;δύω"
"δυωδεκάτη","δυωδεκάτη","δωδέκατος"
"δῶ","δῶ","δίδωμι;δῶμα"
"δωδεκάτῃ","δωδεκάτῃ","δωδέκατος"
"δώῃσιν","δώῃσιν","δίδωμι"
"δῶκε","δῶκε","δίδωμι"
"δῶμα","δῶμα","δῶμα"
"δώματ̓","δώματ̓","δώματ̓"
"δώματα","δώματα","δῶμα"
"δῶῤ","δῶῤ","δῶῤ"
"δῶρα","δῶρα","δῶρον"
"δώσει","δώσει","δίδωμι"
"δῷσι","δῷσι","δίδωμι"
