"","form","lemmata"
"coccineum","coccineum","coccineum;coccineus"
"cochlearia","cochlearia","cochleare;cochlearis;cochlearium;cochlear"
"cochleas","cochleas","cochlea"
"coci","coci","cocere;cocus"
"cocleas","cocleas","coclea"
"coco","coco","cocere;coco;cocus"
"cocococo","cocococo","cocococo"
"cocos","cocos","cocus"
"coctos","coctos","coquere"
"coctus","coctus","coquere"
"cocum","cocum","cocus"
"cocus","cocus","cocus"
"coda","coda","coda"
"codex","codex","codex"
"codicillos","codicillos","codicillus"
"coemo","coemo","coemere"
"coepe","coepe","coepere"
"coeperam","coeperam","coepere;coepisse"
"coeperant","coeperant","coepere;coepisse"
"coeperat","coeperat","coepere;coepisse"
"coeperunt","coeperunt","coepere;coepisse"
"coepi","coepi","coepere;coepisse"
"coepimus","coepimus","coepere;coepisse"
"coepit","coepit","coepere;coepisse"
"cogitas","cogitas","cogitare"
"cogitatione","cogitatione","cogitatio"
"cogitationes","cogitationes","cogitatio"
"cohaerent","cohaerent","cohaerere"
"coheredem","coheredem","coheres"
"coisse","coisse","coire"
"colaepio","colaepio","colaepium"
"colaphisque","colaphisque","colaphus"
"colei","colei","coleus"
"coleos","coleos","coleus"
"collaris","collaris","collare;collaris"
"collecta","collecta","collecta;collectum;collectus;colligere"
"collecto","collecto","collectum;collectus;colligere"
"collegae","collegae","collega"
"collegit","collegit","colligere"
"colliberti","colliberti","collibertus"
"collibertos","collibertos","collibertus"
"collisa","collisa","collidere"
"collo","collo","collum;collus"
"collocari","collocari","collocare"
"colloquerentur","colloquerentur","colloqui"
"colludunt","colludunt","colludere"
"collum","collum","collum;collus"
"colonia","colonia","colonia"
"coloniae","coloniae","colonia"
"coloniam","coloniam","colonia"
"coloris","coloris","color;colos"
"colubra","colubra","colubra"
"columbam","columbam","columba"
"com","com","com"
"comburam","comburam","comburere"
"comederit","comederit","comedere"
"comedi","comedi","comedere;comedus"
"comedit","comedit","comedere"
"comesse","comesse","comedere"
"comessemus","comessemus","comessemus"
"comest","comest","comest"
"comissator","comissator","comissari;comissator"
"comitem","comitem","comes;comitare"
"commendo","commendo","commendare"
"comminuit","comminuit","comminuere"
"comoedos","comoedos","comoedus"
"compedes","compedes","compes"
"compediti","compediti","compedire"
"compilatus","compilatus","compilare"
"complosit","complosit","complodere"
"composita","composita","componere;compositus"
"composuerit","composuerit","componere"
"compressum","compressum","compressus;comprimere"
"comprobamus","comprobamus","comprobare"
"computa","computa","computare"
"computant","computant","computare"
"comula","comula","comula"
"con","con","con"
"conabantur","conabantur","conari"
"conaremur","conaremur","conari"
"concacatum","concacatum","concacare"
"concepti","concepti","conceptum;conceptus;concipere"
"conchyliata","conchyliata","conchyliatus"
"conchyliatum","conchyliatum","conchyliatus"
"concidit","concidit","concidere"
"concinente","concinente","concinere"
"concitaret","concitaret","concitare"
"conclamavit","conclamavit","conclamare"
"concoquas","concoquas","concoquere"
"concrepuit","concrepuit","concrepare"
"concupivi","concupivi","concupiscere"
"concurrere","concurrere","concurrere"
"condimentisque","condimentisque","condimentum"
"conditam","conditam","condere;condire;conditus"
"condituram","condituram","condere;condire;conditura"
